University,City,State,ISO-3
Fachhochschule,AachenAachen,Allemagne,DEU
Hochschule,HeilbronnHeilbronn,Allemagne,DEU
Hochschule Kaiserslautern,Kaiserslautern,Allemagne,DEU
TU Bergakademie Freiberg,Freiberg,Allemagne,DEU
Hochschule Magdeburg,Magdebourg,Allemagne,DEU
TU Braunschweig Carolo Wilhelmina,Braunschweig,Allemagne,DEU
Universität Stuttgart,Stuttgart,Allemagne,DEU
Universidad Nacional de La Plata (UNLP),La Plata,Argentine,ARG
Universidad Nacional de Cuyo,Mendoza,Argentine,ARG
Fachhochschule Technikum Wien,Vienne,Autriche,AUT
